[2025-11-22 09:08:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-11-21
正在获取论文...
[ACM] 2025-11-21 | Introduction to the Special Issue on Large Language Models for Recommender Systems
[NO] 773/1000 | Vega: Fully Immersive Mobile Volumetric Video Streaming with 3D Gaussian Splatting
[NO] 774/1000 | Wireless Hearables With Programmable Speech AI Accelerators
[NO] 775/1000 | mmTremor: Practical Tremor Monitoring for Parkinson's Disease and Essential Tremor in Daily Life
[NO] 776/1000 | Table of Contents
[NO] 777/1000 | WDCANet: A Wavelet-Driven Category-Aware Network for High-Resolution Remote Sensing Image Semantic Segmentation
[NO] 778/1000 | Holographic Counterpart Modeling of Wearable IoT Data for Forensic Timeline Reconstruction and Custodial Monitoring
[NO] 779/1000 | Understanding the Effect of Latency on User Performance of Target Selection in Virtual Reality
[NO] 780/1000 | LaPDA: Latent-Space Point Cloud Denoising With Adaptivity
[NO] 781/1000 | Three-Phase Dynamic Phasor Modeling of Line Commutated Converter with Harmonics
[NO] 782/1000 | Data Augmentation Via Digital Twins to Develop Personalized Deep Learning Glucose Prediction Algorithms for Type 1 Diabetes in Poor Data Context
[NO] 783/1000 | Diagnosis of Inter-Turn Short-Circuit Fault in Five-Phase PMSM Based on Positive and Negative Sequence Components
[YES] 784/1000 | SageCopilot: an LLM-empowered Autonomous Agent for Data Science as a Service
[NO] 785/1000 | SeqFedEDT: Accelerating Sequential Federated Learning on non-IID Data via Element-wise Decoupled Training
[NO] 786/1000 | A Holistic Framework for Cyber Attack Detection, Classification, and Security Enhancement of DNP3 Protocol in Smart Grids
[NO] 787/1000 | Mixed Platoon Control Under Noise and Attacks: Robust Data-Driven Predictive Control and Human-in-the-Loop Validation
[NO] 788/1000 | DSDFormer: An Innovative Transformer-Mamba Framework for Robust High-Precision Driver Distraction Identification
[NO] 789/1000 | Design and Development of a Robot-Assisted in Situ Bioprinting System With Optical Tracking
[NO] 790/1000 | Caformer: Rethinking Time-Series Forecasting From Causal Perspective
[NO] 791/1000 | EmoBridge: Aligning Speech and Language for Emotion Recognition via Q-Former
[NO] 792/1000 | Enhancing Security and Privacy in Multi-Server Federated Learning_supp1-3627244.pdf
[NO] 793/1000 | A Stable Model Reference Adaptive Controller Developed for a Prosthetic Hand Wrist_supp1-3634193.mp4
[NO] 794/1000 | Moisture Independent Measurement of Solid Concentration in Gas-Solid Flows Using Dual-Frequency Dipole Antennas
[NO] 795/1000 | BioVIEW: Automatic Remote Nondestructive Platform for Biodiversity Evaluation
[NO] 796/1000 | Uniquely Decodable Signature Sequences Over the Noisy Adder Channel
[NO] 797/1000 | A Hybrid Classification Approach for Shoreline Detection from Sentinel-2 Data
[NO] 798/1000 | Directional Correction Capability Analysis of Aircraft Nose Wheel Steering During Takeoff Roll under Asymmetric Thrust
[NO] 799/1000 | Efficient Construction of MRD Codes Based on Circular-Shift Operations
[NO] 800/1000 | Estimating Mixture Distributions via Stochastic Mirror Descent
[NO] 801/1000 | Research on the Response of High-Speed Water Entry Structure of Clamp Connected Vehicle
[NO] 802/1000 | Brain Fingerprinting: A signal processing perspective
[NO] 803/1000 | Universal Rate-Distortion-Classification Representations for Lossy Compression
[NO] 804/1000 | An assessment of ICESat-2 Sea Surface Height dataset for the Ligurian Sea
[NO] 805/1000 | Comparing Synthetic and Authentic Network Traffic: A Case Study
[NO] 806/1000 | Modality Plug-and-Play: Runtime Modality Adaptation in LLM-Driven Autonomous Mobile Systems
[NO] 807/1000 | Poster: Home-based, On-Device, Non-contact Sleep Staging with Infrared Video
[NO] 808/1000 | DragonFly: Single mmWave Radar 3D Localization of Highly Dynamic Tags in GPS-Denied Environments
[NO] 809/1000 | Poster: iHead: A Head-Mounted Individual Monitoring and Finding System Based on Internet of Things Technologies
[NO] 810/1000 | Poster: FedFNS: A Robust Federated Learning Method for Data Shift over Unreliable Communication Links
[NO] 811/1000 | Poster: PanoGlass: Optically Transparent Panoramic Metasurface for Sub-6 GHz Network
[NO] 812/1000 | Poster: Electrical impedance tomography using a hybrid PINN–ViT model for low-power healthcare systems
[NO] 813/1000 | μCeiver-Fi: Exploiting Spectrum Resources of Multi-Link Receiver for Fine-Granularity Wi-Fi Sensing
[NO] 814/1000 | Demo: ASIC-based Concurrent Backscatter Networks
[NO] 815/1000 | Poster: ChronoBite: Diet Meets Cellular Aging
[NO] 816/1000 | R&amp;E Routing Policy: Inference and Implication
[NO] 817/1000 | ITW 2025 Welcome
[NO] 818/1000 | Note: Scoring Conformance to Volatile Requirements
[NO] 819/1000 | Location-Prior-Aided Grant-Free Detection in Satellite IoT Networks: A Hierarchical Cooperative Architecture with Spatial Correlation
[NO] 820/1000 | F-Hash: Feature-Based Hash Design for Time-Varying Volume Visualization via Multi-Resolution Tesseract Encoding_supp1-3634812.mp4
[NO] 821/1000 | Investigation of Enhanced Large-Signal Impulse Amplification in a Wideband TWT
[NO] 822/1000 | Design and Performance Research of a Variable-Phase Brushless Compensated Pulse Alternator Based on Field Modulation Rotor
[NO] 823/1000 | <i>Conch</i>
                    :
                    <u>Co</u>
                    mpetitive Debate A
                    <u>n</u>
                    alysis via Visualizing
                    <u>C</u>
                    lash Points and
                    <u>H</u>
                    ierarchical Strategies
[NO] 824/1000 | Challenges and Advances of Power System Protection in Inverter-Based Isolated Microgrids: A Review
[NO] 825/1000 | Analysis of Unavailability in Middleboxes With Double-Capacity Multiple Backup Servers Under Shared Protection
[NO] 826/1000 | Digital Predistortion for Wideband Millimeter Wave Full-Digital Full-connected Multibeam Array under Constraint Bandwidth
[NO] 827/1000 | Low-complexity Non-coherent MOCZ Detection Based on the Genetic Algorithm for Short-Packet Communication
[NO] 828/1000 | AFLoc: A Deep Learning Indoor Localization Method With Trainable Activation Functions
[NO] 829/1000 | Chaos Synchronization and Decryption in Electro-Optic Chaotic Systems Using GRU Neural Networks
[NO] 830/1000 | Tailoring fluxgate sensor performance with integrated magnetic flux concentrators and grooved gratings
[NO] 831/1000 | Joint Pilot and Data Transmission Design for Grant-Free Random Access in Cell-Free Massive MIMO With Ricean Fading
[NO] 832/1000 | Multi-Mapcher: Loop Closure Detection-Free Heterogeneous LiDAR Multi-Session SLAM Leveraging Outlier-Robust Registration for Autonomous Vehicles
[NO] 833/1000 | Value of Multi-pursuer Single-evader Pursuit-evasion Game with Terminal Cost of Evader's Position: Relaxation of Convexity Condition_supp1-3629011.pdf
[NO] 834/1000 | Switchable and Tunable Multifunctional Metamaterial Enabled by Hybrid Integration of Active Device and Microfluidic Liquid Metal
[NO] 835/1000 | Numerical Study on Screening Current Induced Stress of Dry-Wound HTS Racetrack Coil
[NO] 836/1000 | A Novel High Gain Non-Isolated Quasi Z-Source DC-DC Converter with Symmetric Bipolar Outputs
[NO] 837/1000 | Implementation of Machine - Learning Models to study Habitat Suitability for Deep-Diving Cetaceans in the Ikarian Basin
[NO] 838/1000 | Stochastic Updating in Federated Learning
[NO] 839/1000 | AI-Driven Detection of Potato Leaf Diseases and Yield Optimization
[NO] 840/1000 | Trusted vs. Untrusted 5G Non-3GPP Access: A Comparative Study on Performance and Security
[NO] 841/1000 | High resolution Imaging of Surface Currents and Wind fields over lakes: a case study from Lake Garda, Italy
[NO] 842/1000 | A Comparison of Numerical Integration Algorithms for Flexible Variable-Length Cable Multibody Dynamics
[NO] 843/1000 | Evaluation of a Multi-Modal Wake Detection Framework Using Satellite Data
[NO] 844/1000 | Comparative Analysis of Experimental Methodology in RF-Based Drone Detection and Classification Datasets
[NO] 845/1000 | Enhancing Energy Efficient Task Caching and Offloading in Mobile Edge Computing
[NO] 846/1000 | A Formal Model for Path Set Attribute Calculation in Network Systems
[NO] 847/1000 | A single SAR image-based approach to analyse the dynamics of Terra Nova Bay polynya
[NO] 848/1000 | Experimental Investigation on Self-Excited Tangential Combustion Instability of Shear Injector
[NO] 849/1000 | AquaScan: A Sonar-based Underwater Sensing System for Human Activity Monitoring
[NO] 850/1000 | WDNN: Weighted Diffractive Neural Network for Physical-layer RF Signal Processing
[NO] 851/1000 | Bridge: Enabling BLE Direction Finding Feature Compatible with All Bluetooth Devices
[NO] 852/1000 | Demo: Networked iGYM for AR Exergames
[NO] 853/1000 | Demo: PP-AICloud for Edge-Assisted Privacy-Preserving AI Inference with Homomorphic Encryption in Cloud-Based Mobile Services
[NO] 854/1000 | Poster: Collection and Sharing of A Residential Dataset
[NO] 855/1000 | ISNCC 2025 Cover Page
[NO] 856/1000 | Multi-Modal Multi-Task (M3T) Federated Foundation Models for Embodied AI: Potentials and Challenges for Edge Integration
[NO] 857/1000 | Unlocking Potential in LEO Satellites Communications Through Spatial Modulation and Space Shift Keying
[NO] 858/1000 | Studies on Superconducting Performance of Ultra-fine strand Nb
                    <sub>3</sub>
                    Al cable fabricated by React &amp; Wind method in Solenoid Coil
[NO] 859/1000 | LM-VINS: A Robust and Computationally Efficient Visual-Inertial Navigation System for Loitering Munitions
[NO] 860/1000 | Spatiotemporal Satellite-to-Ground Scheduling Strategy for Maximizing the Network Transmission Capacity
[NO] 861/1000 | Table of Contents
[NO] 862/1000 | Hierarchical Adaptive Self Attention Guided Ensemble Band Selection Approach for Remote Sensing Land Use Land Cover Classification
[NO] 863/1000 | SPTPCA: Structure-Preserving Tensor Principal Component Analysis for Hyperspectral Dimensionality Reduction
[NO] 864/1000 | MDSNet: Localization for EV charging inlet with deep learning
[NO] 865/1000 | Learning Uniform Hyperspherical Centers for Open and Closed Set Recognition
[NO] 866/1000 | 2025 Index IEEE Nanotechnology Magazine
[NO] 867/1000 | Visual Extraction of Interaction Patterns Guided by Hierarchical Clustering and Process Mining_supp1-3634837.mp4
[NO] 868/1000 | Learning to Incentivize: LLM-Empowered Contract for AIGC Offloading in Teleoperation
[NO] 869/1000 | A Performance Model for Disintegrated Manycores
[NO] 870/1000 | Deep Transfer Reinforcement Learning Based Exploration Enhanced Multi-UAV Trajectory Planning
[NO] 871/1000 | VCRIS 2025 TOC
[NO] 872/1000 | ISNCC 2025 Content Announcement Page
[NO] 873/1000 | Method and System Including Replication Agent Instances for Maintenance of Metadata in the Multidatabase System
[NO] 874/1000 | Numerical Study on High-Speed Water Entry of Vehicle Based on Structured Arbitrary Lagrangian-Eulerian Method
[NO] 875/1000 | Class-Based Expurgation Attains Csiszár’s Expurgated Source-Channel Exponent
[NO] 876/1000 | Deployment Of key Determinants Of Industry 5.0 To Enhance The Production Sector
[NO] 877/1000 | Radarsat Constellation Mission compact-polarimetric SAR imagery to observe coastal areas
[NO] 878/1000 | Cooperative Jamming based on Replica Burst Signals against Early Warning Radar with SLB and SLC
[NO] 879/1000 | Numerical Simulation Study on the Transcritical Injection Process of Cryogenic Fluids
[NO] 880/1000 | Energy Window-Constrained Guidance Strategy for Ascent Phase of Combined-Cycle Vehicles with Thrust Trap Mitigation
[NO] 881/1000 | Synthetic Data for Network Optimization Deployment
[NO] 882/1000 | Round-Preserving Asymptotic Compression of Prior-Free Interactive Protocols
[NO] 883/1000 | Robot Operating System (ROS) talks underwater: an open-source communication middleware to control underwater vehicles
[NO] 884/1000 | Innovative Marine Robotic Technologies for Coastal Hazard Monitoring and Climate Adaptation Strategies
[NO] 885/1000 | On Securing Berrut Approximated Coded Computing Through Discrete Cosine Transforms
[NO] 886/1000 | A Gliding Phase Predictor-Corrector Guidance Method Based on Drag Acceleration Profile
[NO] 887/1000 | Validation of SeaWinds-Derived Winds Against Coastal Buoys
[NO] 888/1000 | Tracking Coastal Change along Pakistan’s Shoreline Using Remote Sensing and Machine Learning
[NO] 889/1000 | A High Reflective Surface Measurement Method Based on Line Structured Light
[NO] 890/1000 | Demo: Immersive Digital Twin Networks for Industrial Internet of Things
[NO] 891/1000 | Elastic On-Device LLM Service
[NO] 892/1000 | Poster: VI-Planning: Infrastructure-Assisted Real-Time Planning Optimization for Autonomous Driving
[YES] 893/1000 | Poster: An LLM-Assisted IoT Agent System for Heterogeneous User Tasks
[NO] 894/1000 | Demo: VisibleBits: Illuminating Mixed Reality with Li-Fi Information Spotlights
[NO] 895/1000 | An In-Depth Look into 5G ON-OFF Loops in the Wild
[NO] 896/1000 | Poster: Forwarding Score: A New Metric for Assessing the Quality of Internet Route Surveys
[NO] 897/1000 | Replication: A Two Decade Review of Policy Atoms - Tracing the Evolution of AS Path Sharing Prefixes
[NO] 898/1000 | Degradation Analysis of InAlN/GaN Transistors Under Simulated Venus Surface Conditions
[NO] 899/1000 | Room-Temperature-Deposited, Nanometer-Thin Indium-Tin-Oxide for 1-V Operated Thin-Film Transistors
[NO] 900/1000 | Applying FEM-DBCI to 3-D Skin Effect Problems
[NO] 901/1000 | SMC-Based, Stability-Guided Deep Reinforcement Learning for Control of Uncertain Nonlinear Dynamic Systems
[NO] 902/1000 | A Lightweight Global-Local Multi-Scale Fusion Network for Small Ship Detection in Remote Sensing Images
[NO] 903/1000 | Optimized Sizing of ESSs in Non-Array Formed Wind Farm for Frequency Support Considering Multi-Directional Wake Effect
[NO] 904/1000 | Robust Secure Resource Allocation for Cooperative Relay-Assisted Integrated Communication and Computation Networks
[NO] 905/1000 | Algorithmically-Assisted Schematic Transit Map Design: a System and Algorithmic Core for Fast Layout Iteration
[NO] 906/1000 | TrajLens: Visual Analysis for Constructing Cell Developmental Trajectories in Cross-Sample Exploration
[NO] 907/1000 | VisMoDAl: Visual Analytics for Evaluating and Improving Corruption Robustness of Vision-Language Models
[NO] 908/1000 | Critical Design Strategy: a Method for Heuristically Evaluating Visualisation Designs_supp1-3634783.pdf
[NO] 909/1000 | TactiVis: Towards Better Understanding of Team-based Combat Tactics_supp1-3634656.mp4
[NO] 910/1000 | Wavelet-kernel Deformable-convolution Attention Network for Interpretable Intelligent Diagnosis of Rolling Bearing
[NO] 911/1000 | Modeling and Mitigation of Intersymbol Interference in High Rate IRS-assisted FSO Links
[NO] 912/1000 | A numerical study on thermal stability of No Insulation coil with multi-bundled HTS tapes under the open circuit condition
[NO] 913/1000 | A New Eddy Current Septum Magnet for Fast Extraction from CERN's Proton Synchrotron
[NO] 914/1000 | Mitigating Bottlenecks Caused by Freeway Exiting Flows’ Merging Maneuvers to Hard Shoulder: An Integrated Proactive Control
[NO] 915/1000 | Table of Contents
[NO] 916/1000 | FedSSL-NTC: A Robust Federated Self-Supervised Learning Framework for Network Traffic Classification Under Privacy Constraints
