[2026-08-27 00:19:32] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-26
正在获取论文...
[IEEE] 2026-8-26 | The Brain–Computer Interfaces Race: Capital, Policy, and the Battle for Commercialization
[NO] 833/1000 | Cooperative Optimization Scheduling of Multi-source Energy Storage in New Power Systems Based on Deep Reinforcement Learning
[NO] 834/1000 | Distributed Generalized Nash Equilibrium Seeking for Purely Monotone Games Under Communication Constraints
[NO] 835/1000 | PAD-Net: Towards Intelligent Diagnosis of Peripheral Artery Disease with a Deep Learning Framework
[NO] 836/1000 | Internal Dissipation Allocation in Control Lyapunov Function Design
[NO] 837/1000 | A Finite Element Based Analysis of Transmission Lines’ DLR Model Based on FERC Order 881 for Potential DG Integration
[NO] 838/1000 | Performance Analysis of RIS-assisted Two-Way Full-Duplex Cooperative NOMA Systems
[NO] 839/1000 | High-Precision Multibeamforming of Time-Modulated Arrays With Nonideality Compensation
[NO] 840/1000 | IoT-Based Estimation and Reduction of Water Age in Drinking Water Coolers
[NO] 841/1000 | Privacy-Region-Aware Adaptive Steganography for Secure Edge-Based Visual Streams
[NO] 842/1000 | IWQoS 2026 Author Index
[NO] 843/1000 | MPFV: Lightweight Multipath Forwarding Validation for SRv6 Networks
[NO] 844/1000 | Beyond Bypass: Measuring Vulnerability Regression in LLM-Generated Security Patches
[NO] 845/1000 | Enhanced Cooperation and Diminished Conflict via Group Role Assignment
[NO] 846/1000 | QoS-driven Network Soft Slicing through Token-based Hierarchical Scheduling
[NO] 847/1000 | FlyPS: A Flexible Multi-job Placement Scheme with Communication Scheduling in GPU Clusters
[NO] 848/1000 | Distributed Trajectory Planning and Resource Allocation for Dynamic Multi-UAV Collaborative Computing
[NO] 849/1000 | Improving Coastal SWOT Wide-Swath Wet Tropospheric Correction Using Objective Analysis
[NO] 850/1000 | Computer Science and Engineering Awards
[NO] 851/1000 | Improved Conductance Window in Bilayer FTJs Using Asymmetric Multipulse Wake-Up_supp1-3726994.pdf
[NO] 852/1000 | Revolutionizing Cloud SLA Management: The Fusion of Semantic Web and Logical Reasoning
[NO] 853/1000 | Compute-Aware Shared-Block Adaptive Execution for IMU-Based Human Activity Recognition
[NO] 854/1000 | CT-Sketch: Persistent Item Lookup Based on Collision Statistics and Thresholds
[NO] 855/1000 | CMSNet: A Cross-Modal Synergistic Network for Industrial Anomaly Detection
[NO] 856/1000 | AI-Driven Rate-Adaptive LDPC Coding and Decoding
[NO] 857/1000 | Ygg: Tree-Based Collaborative Speculative Decoding with Token-Only Transmission
[NO] 858/1000 | Noise-Resilient Few-Shot RF Fingerprinting for Unseen Emitters via Multi-Scale Temporal Meta-Learning
[NO] 859/1000 | Intelligent Researcher Recommendation Based on Hybrid GraphRAG and Semantic Knowledge Graph Fusion
[NO] 860/1000 | Democratizing Autonomous Deep Research: A Neuro-Symbolic Framework for Small Language Models via Grammar-Constrained Decoding
[NO] 861/1000 | CDWF: Few-Shot Learning for Cross-Domain Multi-Tab Website Fingerprinting
[NO] 862/1000 | Simulation Tests of Codes with Locality, Availability and Scalability Obtained by Plain Tessellation via [7, 3, 4] Simplex Code Graph
[NO] 863/1000 | An Inclusive Web-Based Ensemble System for Interactive and Expressive Music Performance
[NO] 864/1000 | Real-Time Vessel Anomaly Detection Based on Transformer Trajectory Prediction Using AIS Data
[NO] 865/1000 | Message from the PC Chairs AITest 2026
[NO] 866/1000 | Hierarchical Surgeon–Robot&amp;ndash;Patient Interaction for Robot&amp;ndash;Assisted Transperineal Prostate Biopsy Under Transrectal Ultrasound Guidance_supp2-3721824.mp4
[NO] 867/1000 | Rethinking Data Center Networks for IoT-Driven Environments: A Comparative Analysis of SpineLeaf, Three-Tier, and Switch-Fabric Architectures
[NO] 868/1000 | MCCN: A Two-Stage Automatic Chord Recognition Network Based on Coordinate Guidance and Channel Calibration
[NO] 869/1000 | Safe Formation Control of Multiple Quadrotor UAVs With Prescribed Performance and High-Order Control Barrier Functions
[NO] 870/1000 | Research on UAV Obstacle Localization Algorithm Based on DSP Image Recognition
[NO] 871/1000 | Impedimetric sensor for oil concentration detecting in the cold rolling steel process: a laboratory proof of concept
[NO] 872/1000 | Processing/p5 Defined Through Practice and Learning
[NO] 873/1000 | Generative AI in Higher Education: The Good, the Bad, and the Ugly
[NO] 874/1000 | Dual-Echo bSSFP for Rapid T2-Sensitive Quantitative Contrast Imaging at Ultra-Low Field_supp1-3727100.docx
[NO] 875/1000 | Optical Detection of Ensonified Capillary-Gravity Waves Using Polarimetric Imaging
[NO] 876/1000 | Design of a Pulse Width Measurement System for Pulse-Modulated RF Signals
[NO] 877/1000 | 2026 13th International Conference on Future Internet of Things and Cloud (FiCloud)
[NO] 878/1000 | BACScout: Evidence-Constrained Black-Box Testing of Broken Access Control in Microservice Applications
[NO] 879/1000 | STORE: Self-Provisioning Storage-as-a-Service for Serverless Functions
[NO] 880/1000 | Between Relief and Reliance: Designing AI That Knows Its Limits
[NO] 881/1000 | Friction by Design: Reclaiming Human Agency
[NO] 882/1000 | LSK-RM: A Physics-Guided Large Selective Kernel U-Net for Radio Map Reconstruction
[NO] 883/1000 | Toward Precise Pad-to-Coil Alignment in EV Inductive Charging With UWB
[NO] 884/1000 | A Variable-Length Polar Code Block Allocation Algorithm for Low-Latency Polar-Coded Receivers
[NO] 885/1000 | Software Engineering in Generative Art
[NO] 886/1000 | The Score Is Not the Skill: The Scoreboard Problem
[NO] 887/1000 | Semantic Layer-Enabled AI
[NO] 888/1000 | Exploring Fingertip Tactile Perception via High-Precision 3D Measurement
[NO] 889/1000 | P4VC: Positive Perturbation based Perceptual Preprocessing Framework for Video Compression
[NO] 890/1000 | An 11.1–27.5-GHz SiGe LNA With 1.62-dB Noise Figure and 32.2-dB Gain Using Noise Matching and Gain Flatness Optimization Techniques
[NO] 891/1000 | TraceMark: Chain-Consistent Parameter Watermarking for Lifecycle-Aware Ownership Verification
[NO] 892/1000 | IEEE Professional Communication Society Information
[NO] 893/1000 | DEC: Low-Bitrate Perceptual Restoration-aware Compression via Decoupled Energy-Complementary Method
[NO] 894/1000 | Total Scattering Cross Section of a PEC Sphere in a Reverberation Chamber
[NO] 895/1000 | μNeuFMT: Background-Optical-Property-Adaptive Fluorescence Molecular Tomography via Implicit Neural Representation
[NO] 896/1000 | Dual-Hop LEO Satellite-Terrestrial Communication With Joint Beamforming, Movable-Antenna Control, and Nonlinear Energy Harvesting
[NO] 897/1000 | Classification of Partial Shading Patterns in PV Systems via Convolutional Neural Networks
[NO] 898/1000 | Dynamic Modelling and Analysis of Speed Effects in LCC-LCC Compensated Dynamic Wireless Power Transfer Systems
[NO] 899/1000 | Subset-Driven Representation Learning for Hyperspectral Image Classification: Assessing Latent Space Quality Through Spectral-Spatial and Transformer-Based Models
[NO] 900/1000 | An Adaptive Multi-Metric Forwarding Strategy for Vehicular Named Data Networking with Hybrid Contention and Opportunistic Delivery
[NO] 901/1000 | ReasonCache: Accelerating Large Reasoning Model Serving through KV Cache Sharing
[NO] 902/1000 | A Lightweight End-to-End Multi-Source Localization Framework in Urban Environments via Local Radio Map Construction
[NO] 903/1000 | Zero-Cost Merging Transitioning for Large-Scale Erasure-Coded Storage Systems
[NO] 904/1000 | WaveCSI-Net: Adaptive Multi-Resolution Wavelet Network for Massive MIMO CSI Feedback
[NO] 905/1000 | Brain Tumor Segmentation Using Transfer Learning with Modified U-Net
[NO] 906/1000 | A Wideband 3D-printed Core-Plug Embedded Quarter-Mode Dielectric Resonator Antenna
[NO] 907/1000 | Stacked Ring Oscillators with Fractional Injection Locking: First Experimental Validation
[NO] 908/1000 | Switch-Transparent Load Balancing for RDMA Data Centers: A Host-Only Approach
[NO] 909/1000 | Contextual IoT Service Discovery: TinyML vs. Deep Learning
[NO] 910/1000 | Analysis of the Impact of Multi-Mode Element Failures on Phased Array Antennas
[NO] 911/1000 | Heat Diffusion Constrained Prototypical Dual Contrastive Network for Few-Shot Open-Set Fault Diagnosis
[NO] 912/1000 | Design and Implementation of a Low Cost Iot-Based Meteorological Monitoring Station
[NO] 913/1000 | ALCHEMY: Reusing Congestion Control Wisdom for Adaptive QUIC Transport
[NO] 914/1000 | Global Context Meets Local Quality: A Mamba-Enhanced Detector for Underwater Imagery
[NO] 915/1000 | Pattern Discovery in Digital Health Data for the Early Detection of Juvenile Arthritis
[NO] 916/1000 | A Model for Electromyography Signal Recognition Based on Convolutional Neural Network Optimized by Neural Architecture Search
[NO] 917/1000 | Cross-Harmonic Ambiguity-Aligned Multiport Parameter Estimation for Time-Floquet RIS
[YES] 918/1000 | TE-TCP-Net: Parallel Transformer-Encoders for Test Case Prioritization
[NO] 919/1000 | Touch and Tell: Multimodal Decoding of Human Emotions and Social Gestures for Robots
[NO] 920/1000 | Causal-Aware Channel-Adaptive Semantic Communication with Emergent Encoding
[NO] 921/1000 | Janus: Edge Content Negotiation for Agent-Oriented Web QoS
[NO] 922/1000 | Accountable Anonymous Authentication Scheme Supporting Selective Disclosure for UAV Swarms
[NO] 923/1000 | Taming GPU Inference Variability with Risk-Aware Scheduling and Dynamic Kernel Segments
[NO] 924/1000 | A Gaussian Sampling-Based Theta* Pre-Sampling Probabilistic Roadmap Algorithm for UAV Path Planning
[NO] 925/1000 | Dual-Band Filters With All Inductive Irises Using Staggered Truncated-Cone Resonators
[NO] 926/1000 | Noisy Functional Encryption Revisited: New Constructions from LWE for Differential Privacy_supp1-3727428.pdf
[NO] 927/1000 | Robust Watermark Recovery in the DWT Domain Using Chaotic Encryption and Associative Memory With Deep Feature Extraction
[NO] 928/1000 | An Empirical Study of Transformer Representations for Fine-Grained Biological Operation Localization
[NO] 929/1000 | A Novel Optimization-Based Approach for the Integrated Operation of Hydrogen and Transportation Systems Considering RESs
[NO] 930/1000 | Detecting Swimming Incidents in Videos: Dataset and Approach
[NO] 931/1000 | Scenario-Adaptive Fusion Framework for Infrared Aerial Search and Rescue
[NO] 932/1000 | FedQCab: A Common Plug-and-Play Layer-wise Quantization Tool for Communication-Efficient Federated Learning
[NO] 933/1000 | UPServe: Backend Agnostic Proxy for Black-box Heterogeneous LLM Scheduling
[NO] 934/1000 | Neuro-Semantic Drift Regularization for Calibration-Free Brain-Computer Interfaces
[NO] 935/1000 | When Less Is More: Simplicity Beats Complexity for Physics-Constrained InSAR Phase Unwrapping_supp1-3727071.pdf
[NO] 936/1000 | Domain Ontology-Anchored Experience Memory Mechanism for Power System AI Agent
[NO] 937/1000 | Weak-Coverage User Compensation for RIS-Assisted Plateau LoRa Multi-User Downlink Coverage Enhancement
[NO] 938/1000 | Implicit Depth Deep Unfolding for Three-Dimensional SAR Tomography
[NO] 939/1000 | Deep Learning–Based Covariance Reconstruction for STAP in Subarray-Sampled Airborne FDA Radar Systems
[NO] 940/1000 | EDTalk++: Full Disentanglement for Controllable Talking Head Synthesis
[NO] 941/1000 | Modeling and Analysis for High-Frequency Oscillations in Islanded Converter Stations of MMC-HVDC Systems for Renewable Energy Integration
[NO] 942/1000 | The Throughput Gain of Hypercycle-level Resource Reservation for Time-Triggered Communication
[NO] 943/1000 | Interpretable Cross-Sensor Hyperspectral Image Super-Resolution
[NO] 944/1000 | DOA Estimation of Unknown Source Number under Coexistence of Coherent and Uncorrelated Sources
[NO] 945/1000 | IEEE Computing Edge
[NO] 946/1000 | Table of Contents
[NO] 947/1000 | Non-Intrusive Detection and Localization of Inter-Turn Short-Circuit Faults in Dry-Type Air-Core Reactors Using a TMR Magnetic-Field Sensor Array
[NO] 948/1000 | LEO Broadband Communication Satellite-Based Passive Radar Imaging: (I) Blind Signal Estimation and Structure-Aware Suppression of OFDM-Induced Ghost Responses
[NO] 949/1000 | CLIP-SGI: A Semantic-Guided and Instance-Consistent Framework for Generalizable Person Re-Identification
[NO] 950/1000 | Multi-Agent Change Impact Analysis and Test Optimization for AI-Enabled Software Systems
[NO] 951/1000 | Ensuring QoS Stability in Dynamic WANs through Selectively Optimized Range Routing
[NO] 952/1000 | Message From the Chairs
[NO] 953/1000 | Design and Simulation Verification of Civil Aircraft HF Communication Antenna
[NO] 954/1000 | EVLM: Intent-Driven Edge Vision Language Model for UAV-Based Power Line Inspection
[NO] 955/1000 | Speak Your Network: Automated Network Emulation Construction with Cost-Efficient Multi-Agent Orchestration
[NO] 956/1000 | Spatially-Aware Stable Learning for Single-Domain Generalizable Remote Sensing Object Detection_supp1-3727080.docx
[NO] 957/1000 | Deep Coupling of Sparsity Algorithms and Hardware Architectures: An FPGA Implementation for Airborne Edge Remote Sensing Object Detection
[NO] 958/1000 | Copyright Page
[NO] 959/1000 | Scenario-Adaptive Preference-Driven Trajectory Refinement for Communication Reliability-Constrained Vehicle-to-Vehicle Systems
[NO] 960/1000 | A Reinforcement Learning-Based Broadband Spectrum-Aware Subband Merging Algorithm
[NO] 961/1000 | Cloud-edge-end collaborative service architecture and smart contract verification model for full-link trust
[NO] 962/1000 | Graphene-Vanadium Based 2-Bit RIS Beam Scanner Circular Polarization Conversion for 6G Applications
[NO] 963/1000 | Trustworthy Federated Learning for Edge-Enabled Spatial Crowdsourcing with Malicious Source Identification
[NO] 964/1000 | Dynamic Hot Expert Replication with Load and Topology-Aware Joint Gating for Distributed MoE Inference
[NO] 965/1000 | A three-dimensional container loading problem model based on SEO algorithm
[NO] 966/1000 | Prescribed-Performance Control of Underactuated MSVs via a Neural Network–Based RISE Disturbance Observer
[NO] 967/1000 | A Deformation-Prior-Constrained Unified Error Correction Method for Wide-Area ALOS/PALSAR InSAR Processing
[NO] 968/1000 | HyperWeave: QoS-aware GPU Overcommitment for Deep Learning Training Jobs
[NO] 969/1000 | Pedagogical Integration of First-Person Shooter Mechanics in Game-Based Learning: A Critical Review and Framework Positioning
[NO] 970/1000 | Behavioral Regression Testing for Continuously Updated Machine Learning Models
[NO] 971/1000 | RMT-UNet: A Spatial-Retention U-Net with Efficient Local Attention for SAR Oil Spill Segmentation
[NO] 972/1000 | A Knowledge-enhanced Framework with -step DQN for No-Wait Flow-Shop Scheduling with Sequence-Dependent Setup Time_supp1-3727219.pdf
[NO] 973/1000 | Sensing-Then-Transmit: A Two-Phase Secure ISAC Framework
[NO] 974/1000 | Adversarial CSI Obfuscation Against Device-Free Activity Recognition in RIS-Assisted Systems
[NO] 975/1000 | AUCH-Net: Action Unit-Based Consistency-Aware Hypergraph Network for Cross-Domain Few-Shot Facial Expression Recognition
[NO] 976/1000 | PolySAT: A Fast Cache-SAT Implementation for Solving Boolean Problems with Parameterized Complexity
[NO] 977/1000 | Kylin-Based Communication O&amp;M Management System with Work-Order-Driven Security Control
[NO] 978/1000 | Void Technologies: In Memory of Margaret Tedesco
[NO] 979/1000 | <i>Computer</i>
                    Highlights Society Magazines
[NO] 980/1000 | Computer Science &amp; Engineering Awards
